,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,BEGIN_MONTH,TARGET
0,5008806,M,,Y,0.0,,Working,Secondary / secondary special,Married,House / apartment,-21474.0,-1134.0,1.0,,0.0,,Security staff,2.0,-29,0
1,5008819,M,Y,Y,,,Commercial associate,Secondary / secondary special,Married,,-17778.0,-1194.0,,0.0,,0.0,Laborers,2.0,-17,0
2,5008820,M,Y,Y,0.0,135000.0,Commercial associate,,Married,,-17778.0,-1194.0,1.0,,0.0,0.0,Laborers,2.0,-16,0
3,5008821,M,Y,,0.0,,,Secondary / secondary special,Married,,-17778.0,-1194.0,1.0,,0.0,0.0,Laborers,,-8,0
4,5008822,M,Y,Y,0.0,135000.0,,,Married,House / apartment,-17778.0,-1194.0,,0.0,0.0,0.0,Laborers,2.0,-22,0
5,5008823,M,Y,Y,0.0,135000.0,Commercial associate,Secondary / secondary special,,House / apartment,-17778.0,-1194.0,1.0,0.0,0.0,0.0,Laborers,2.0,-7,0
6,5008824,M,Y,Y,0.0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778.0,-1194.0,1.0,0.0,0.0,0.0,Laborers,,-3,0
7,5008844,M,,Y,0.0,,,Secondary / secondary special,Married,House / apartment,-20502.0,-4450.0,1.0,0.0,1.0,0.0,Drivers,2.0,-43,0
8,5008846,,Y,Y,0.0,112500.0,,Secondary / secondary special,,House / apartment,-20502.0,-4450.0,1.0,0.0,1.0,0.0,,2.0,-11,0
9,5008847,M,Y,Y,0.0,112500.0,Commercial associate,,Married,House / apartment,-20502.0,-4450.0,1.0,0.0,1.0,0.0,Drivers,2.0,-46,0
10,5008849,M,Y,,0.0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502.0,-4450.0,1.0,0.0,1.0,0.0,Drivers,2.0,-51,0
11,5008850,M,,Y,0.0,,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502.0,-4450.0,1.0,0.0,1.0,,Drivers,2.0,-25,0
12,5008851,M,,Y,0.0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502.0,-4450.0,1.0,0.0,1.0,0.0,Drivers,2.0,-11,0
13,5008852,M,Y,Y,,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502.0,-4450.0,1.0,0.0,1.0,0.0,Drivers,2.0,0,0
14,5008853,M,Y,Y,,112500.0,,,Married,House / apartment,-20502.0,-4450.0,1.0,0.0,1.0,0.0,,2.0,-39,0
15,5008854,F,Y,Y,2.0,,,Secondary / secondary special,,House / apartment,-15761.0,-3173.0,1.0,0.0,0.0,0.0,,4.0,-39,0
16,5008855,F,Y,Y,,135000.0,Working,Secondary / secondary special,Married,House / apartment,,-3173.0,1.0,0.0,0.0,0.0,Laborers,,-28,0
17,5008856,F,Y,Y,2.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,,-3173.0,,,,,Laborers,4.0,-3,0
18,5008857,F,Y,Y,2.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761.0,,,0.0,0.0,0.0,Laborers,4.0,-27,0
19,5008858,F,Y,Y,2.0,135000.0,,,Married,House / apartment,-15761.0,-3173.0,1.0,0.0,0.0,,Laborers,4.0,-10,0
20,5008859,F,Y,,2.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761.0,-3173.0,1.0,,0.0,0.0,Laborers,4.0,-4,0
21,5008860,,Y,Y,2.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761.0,,,0.0,0.0,0.0,Laborers,4.0,-3,0
22,5008861,F,Y,Y,2.0,135000.0,Working,Secondary / secondary special,,House / apartment,-15761.0,-3173.0,1.0,0.0,0.0,0.0,Laborers,4.0,-3,0
23,5008862,F,,Y,,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761.0,-3173.0,1.0,0.0,0.0,0.0,,,-2,0
24,5008863,F,Y,,2.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,,,1.0,,0.0,0.0,,4.0,-2,0
25,5008864,F,Y,Y,2.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761.0,-3173.0,,,0.0,,Laborers,,-2,0
26,5008865,F,Y,Y,2.0,,Working,Secondary / secondary special,Married,House / apartment,-15761.0,-3173.0,1.0,0.0,0.0,0.0,,4.0,-8,0
27,5008866,F,Y,Y,2.0,,Working,Secondary / secondary special,Married,House / apartment,-15761.0,,,0.0,0.0,0.0,Laborers,4.0,-19,0
28,5008867,F,Y,Y,2.0,135000.0,Working,Secondary / secondary special,Married,,,-3173.0,1.0,0.0,0.0,0.0,,,-25,0
29,5008947,M,,Y,0.0,135000.0,Working,,,House / apartment,-15484.0,-1408.0,1.0,1.0,1.0,0.0,Drivers,2.0,-12,0
30,5008948,,N,Y,0.0,135000.0,Working,,,House / apartment,-15484.0,-1408.0,1.0,,,0.0,Drivers,,-17,0
31,5008949,M,N,Y,0.0,135000.0,,Secondary / secondary special,Married,House / apartment,-15484.0,-1408.0,1.0,1.0,1.0,0.0,Drivers,2.0,0,0
32,5008950,M,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484.0,-1408.0,1.0,1.0,1.0,,,2.0,-12,0
33,5008955,F,,,0.0,135000.0,,Secondary / secondary special,,House / apartment,-17785.0,,1.0,0.0,0.0,0.0,Laborers,2.0,-4,0
34,5008956,F,Y,Y,0.0,,,Secondary / secondary special,Married,House / apartment,-17785.0,,1.0,,0.0,0.0,Laborers,2.0,-39,0
35,5008957,F,Y,Y,,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785.0,-1712.0,1.0,,0.0,0.0,,,-51,0
36,5008958,F,Y,Y,0.0,,Working,,Married,House / apartment,-17785.0,,1.0,0.0,0.0,,Laborers,2.0,-3,0
37,5008959,F,Y,,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785.0,-1712.0,1.0,,0.0,0.0,,2.0,-15,0
38,5008960,F,Y,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785.0,-1712.0,,0.0,0.0,,Laborers,2.0,-28,0
39,5008962,,Y,,0.0,135000.0,,Secondary / secondary special,,,-17785.0,,1.0,0.0,0.0,0.0,Laborers,,-26,0
40,5008963,F,,,0.0,135000.0,Working,,,House / apartment,-17785.0,-1712.0,1.0,0.0,0.0,0.0,Laborers,2.0,-38,0
41,5008981,M,Y,Y,0.0,112500.0,State servant,,,House / apartment,-20874.0,-2381.0,1.0,0.0,1.0,0.0,,2.0,-10,0
42,5008983,M,,Y,,112500.0,,Secondary / secondary special,Married,House / apartment,-20874.0,-2381.0,1.0,0.0,1.0,0.0,Drivers,2.0,-58,0
43,5008984,,Y,Y,0.0,112500.0,State servant,,Married,House / apartment,-20874.0,-2381.0,,0.0,1.0,,,2.0,-58,0
44,5008986,M,Y,Y,0.0,112500.0,State servant,,Married,,-20874.0,-2381.0,1.0,0.0,1.0,0.0,Drivers,2.0,-10,0
45,5008987,M,Y,,0.0,112500.0,,Secondary / secondary special,Married,House / apartment,,-2381.0,,0.0,1.0,,Drivers,2.0,-10,0
